Date,,Custis Rosslyn,Custis Rosslyn Ped,Custis Rosslyn Bike
01/01/2010,00:00,0,0,0
01/01/2010,00:15,0,0,0
01/01/2010,00:30,0,0,0
01/01/2010,00:45,0,0,0
01/01/2010,01:00,1,0,1
01/01/2010,01:15,1,1,0
01/01/2010,01:30,0,0,0
01/01/2010,01:45,0,0,0
01/01/2010,02:00,0,0,0
01/01/2010,02:15,0,0,0
01/01/2010,02:30,0,0,0
01/01/2010,02:45,1,1,0
01/01/2010,03:00,1,1,0
01/01/2010,03:15,0,0,0
01/01/2010,03:30,0,0,0
01/01/2010,03:45,0,0,0
01/01/2010,04:00,1,1,0
01/01/2010,04:15,1,1,0
01/01/2010,04:30,1,1,0
01/01/2010,04:45,0,0,0
01/01/2010,05:00,0,0,0
01/01/2010,05:15,0,0,0
01/01/2010,05:30,0,0,0
01/01/2010,05:45,0,0,0
01/01/2010,06:00,0,0,0
01/01/2010,06:15,0,0,0
01/01/2010,06:30,0,0,0
01/01/2010,06:45,0,0,0
01/01/2010,07:00,0,0,0
01/01/2010,07:15,2,2,0
01/01/2010,07:30,0,0,0
01/01/2010,07:45,3,3,0
01/01/2010,08:00,2,2,0
01/01/2010,08:15,1,0,1
01/01/2010,08:30,1,1,0
01/01/2010,08:45,2,2,0
01/01/2010,09:00,0,0,0
01/01/2010,09:15,3,3,0
01/01/2010,09:30,2,2,0
01/01/2010,09:45,3,1,2
01/01/2010,10:00,4,4,0
01/01/2010,10:15,3,1,2
01/01/2010,10:30,8,6,2
01/01/2010,10:45,3,3,0
01/01/2010,11:00,3,3,0
01/01/2010,11:15,8,6,2
01/01/2010,11:30,15,9,6
01/01/2010,11:45,7,7,0
01/01/2010,12:00,9,6,3
01/01/2010,12:15,7,3,4
01/01/2010,12:30,10,4,6
01/01/2010,12:45,12,7,5
01/01/2010,13:00,11,6,5
01/01/2010,13:15,6,5,1
01/01/2010,13:30,11,5,6
01/01/2010,13:45,10,7,3
01/01/2010,14:00,8,3,5
01/01/2010,14:15,9,6,3
01/01/2010,14:30,10,8,2
01/01/2010,14:45,17,8,9
01/01/2010,15:00,15,7,8
01/01/2010,15:15,15,7,8
01/01/2010,15:30,13,6,7
01/01/2010,15:45,19,16,3
01/01/2010,16:00,14,12,2
01/01/2010,16:15,8,4,4
01/01/2010,16:30,9,6,3
01/01/2010,16:45,1,1,0
01/01/2010,17:00,9,5,4
01/01/2010,17:15,10,6,4
01/01/2010,17:30,1,1,0
01/01/2010,17:45,2,2,0
01/01/2010,18:00,1,1,0
01/01/2010,18:15,0,0,0
01/01/2010,18:30,1,1,0
01/01/2010,18:45,1,1,0
01/01/2010,19:00,4,3,1
01/01/2010,19:15,0,0,0
01/01/2010,19:30,0,0,0
