,STATION,STATION_NAME,HLY-DEWP-NORMAL,HLY-HIDX-NORMAL,HLY-TEMP-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-AVGSPD,num_bikes
2010-01-01,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,260,361,361,304,84,112.0
2010-01-02,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,259,360,360,302,84,34.0
2010-01-03,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,259,360,359,302,84,397.0
2010-01-04,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,260,359,359,301,83,1701.0
2010-01-05,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,258,359,358,300,85,1342.0
2010-01-06,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,256,358,357,298,86,1293.0
2010-01-07,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,256,358,357,298,87,1886.0
2010-01-08,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,255,358,356,296,90,1107.0
2010-01-09,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,250,355,354,292,91,1569.0
2010-01-10,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,244,351,350,288,91,1149.0
2010-01-11,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,242,351,349,287,92,1085.0
2010-01-12,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,238,348,346,284,90,303.0
2010-01-13,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,236,345,344,280,91,455.0
2010-01-14,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,232,342,340,275,92,610.0
2010-01-15,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,226,337,335,270,90,620.0
2010-01-16,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,226,335,333,268,89,400.0
2010-01-17,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,228,335,334,269,88,15.0
2010-01-18,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,229,336,335,269,90,633.0
2010-01-19,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,228,335,334,267,91,798.0
2010-01-20,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,226,333,332,265,91,571.0
2010-01-21,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,223,330,330,261,91,551.0
2010-01-22,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,220,329,329,260,90,257.0
2010-01-23,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,222,329,329,262,88,450.0
2010-01-24,GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,224,331,331,263,88,123.0
