STATION,STATION_NAME,DATE,HLY-DEWP-NORMAL,HLY-HIDX-NORMAL,HLY-TEMP-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-AVGSPD
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 00:00,260,361,361,304,84
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 01:00,260,356,356,298,83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 02:00,259,352,352,294,82
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 03:00,260,350,350,294,81
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 04:00,260,350,349,292,83
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 05:00,257,344,344,285,84
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 06:00,256,342,342,282,84
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 07:00,256,340,340,278,85
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 08:00,258,343,343,281,85
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 09:00,262,357,357,296,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 10:00,265,375,375,313,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 11:00,265,391,390,330,107
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 12:00,268,410,408,352,108
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 13:00,265,419,418,364,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 14:00,266,428,427,376,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 15:00,263,431,430,380,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 16:00,262,425,424,372,108
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 17:00,258,408,408,353,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 18:00,259,398,397,342,95
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 19:00,260,389,389,331,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100101 20:00,261,382,382,325,90
